name,block,family,shape,dtype,params,rows,cols
model.layers.33.self_attn.o_proj.weight,33,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.33.self_attn.q_norm.weight,33,norm,[128],BF16,128,128,1
model.layers.33.self_attn.q_proj.weight,33,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.33.self_attn.v_proj.weight,33,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.34.input_layernorm.weight,34,norm,[2560],BF16,2560,2560,1
model.layers.34.mlp.down_proj.weight,34,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.34.mlp.gate_proj.weight,34,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.34.mlp.up_proj.weight,34,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.34.post_attention_layernorm.weight,34,norm,[2560],BF16,2560,2560,1
model.layers.34.self_attn.k_norm.weight,34,norm,[128],BF16,128,128,1
model.layers.34.self_attn.k_proj.weight,34,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.34.self_attn.o_proj.weight,34,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.34.self_attn.q_norm.weight,34,norm,[128],BF16,128,128,1
model.layers.34.self_attn.q_proj.weight,34,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.34.self_attn.v_proj.weight,34,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.35.input_layernorm.weight,35,norm,[2560],BF16,2560,2560,1
model.layers.35.mlp.down_proj.weight,35,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.35.mlp.gate_proj.weight,35,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.35.mlp.up_proj.weight,35,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.35.post_attention_layernorm.weight,35,norm,[2560],BF16,2560,2560,1
model.layers.35.self_attn.k_norm.weight,35,norm,[128],BF16,128,128,1
model.layers.35.self_attn.k_proj.weight,35,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.35.self_attn.o_proj.weight,35,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.35.self_attn.q_norm.weight,35,norm,[128],BF16,128,128,1
model.layers.35.self_attn.q_proj.weight,35,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.35.self_attn.v_proj.weight,35,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.4.input_layernorm.weight,4,norm,[2560],BF16,2560,2560,1
model.layers.4.mlp.down_proj.weight,4,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.4.mlp.gate_proj.weight,4,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.4.mlp.up_proj.weight,4,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.4.post_attention_layernorm.weight,4,norm,[2560],BF16,2560,2560,1
model.layers.4.self_attn.k_norm.weight,4,norm,[128],BF16,128,128,1
model.layers.4.self_attn.k_proj.weight,4,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.4.self_attn.o_proj.weight,4,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.4.self_attn.q_norm.weight,4,norm,[128],BF16,128,128,1
model.layers.4.self_attn.q_proj.weight,4,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.4.self_attn.v_proj.weight,4,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.5.input_layernorm.weight,5,norm,[2560],BF16,2560,2560,1
model.layers.5.mlp.down_proj.weight,5,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.5.mlp.gate_proj.weight,5,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.5.mlp.up_proj.weight,5,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.5.post_attention_layernorm.weight,5,norm,[2560],BF16,2560,2560,1
model.layers.5.self_attn.k_norm.weight,5,norm,[128],BF16,128,128,1
model.layers.5.self_attn.k_proj.weight,5,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.5.self_attn.o_proj.weight,5,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.5.self_attn.q_norm.weight,5,norm,[128],BF16,128,128,1
model.layers.5.self_attn.q_proj.weight,5,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.5.self_attn.v_proj.weight,5,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.6.input_layernorm.weight,6,norm,[2560],BF16,2560,2560,1
model.layers.6.mlp.down_proj.weight,6,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.6.mlp.gate_proj.weight,6,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.6.mlp.up_proj.weight,6,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.6.post_attention_layernorm.weight,6,norm,[2560],BF16,2560,2560,1
model.layers.6.self_attn.k_norm.weight,6,norm,[128],BF16,128,128,1
model.layers.6.self_attn.k_proj.weight,6,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.6.self_attn.o_proj.weight,6,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.6.self_attn.q_norm.weight,6,norm,[128],BF16,128,128,1
model.layers.6.self_attn.q_proj.weight,6,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.6.self_attn.v_proj.weight,6,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.7.input_layernorm.weight,7,norm,[2560],BF16,2560,2560,1
model.layers.7.mlp.down_proj.weight,7,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.7.mlp.gate_proj.weight,7,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
